City,Timestamp,TotalJamDelay,TrafficIndex,JamLengthKm,JamCount,TrafficIndexLastWeek,UpdateTimeUTCWeekAgo,LiveTravelTimePer10Km,HistoricTravelTimePer10Km,TravelDelayMinutes,Hour,DayName,Month,TrafficFrictionScore,FrictionCategory
abu-dhabi,2025-01-13 04:01:30.001,650.7,36.0,109.1,162.0,30.0,2025-01-06 04:01:30.000,11.614766936190572,10.26533011136789,1.3494368248226838,4,Monday,January,4.732407547207767,High
abu-dhabi,2025-01-13 03:46:00.000,540.4,30.0,101.4,136.0,27.0,2025-01-06 03:46:30.001,11.003179619645492,10.031544305625095,0.9716353140203946,3,Monday,January,2.9057399870393663,High
abu-dhabi,2025-01-13 02:46:30.000,71.8,7.0,18.9,23.0,6.0,2025-01-06 02:46:30.000,8.196277948933096,8.196509787039334,-0.000231838106238,2,Monday,January,-0.0001979948521787349,Low
abu-dhabi,2025-01-13 01:46:30.001,8.2,2.0,4.1,2.0,2.0,2025-01-06 01:46:30.000,7.723807797300978,7.899046154929979,-0.1752383576290013,1,Monday,January,-0.0443694983399055,Low
abu-dhabi,2025-01-13 00:01:30.000,1.1,1.0,0.2,1.0,1.0,2025-01-06 00:01:30.000,8.336363491409566,8.604379091463072,-0.2680156000535056,0,Monday,January,-0.03114874382039028,Low
abu-dhabi,2025-01-12 23:01:30.000,5.6,2.0,0.4,2.0,1.0,2025-01-05 23:01:30.001,8.309698726713616,8.515686963693126,-0.2059882369795094,23,Sunday,January,-0.04837853666010649,Low
abu-dhabi,2025-01-12 22:31:30.000,5.0,2.0,0.9,1.0,1.0,2025-01-05 22:01:30.001,8.337259078951437,8.536888727435892,-0.1996296484844553,22,Sunday,January,-0.04676871278476071,Low
abu-dhabi,2025-01-12 21:01:30.001,10.2,3.0,1.5,5.0,3.0,2025-01-05 21:01:00.000,8.430087574522734,8.59058964030892,-0.1605020657861864,21,Sunday,January,-0.05605042465295131,Low
abu-dhabi,2025-01-12 20:01:30.000,40.9,13.0,9.9,16.0,5.0,2025-01-05 20:01:00.000,9.126345345794247,8.656093799763308,0.4702515460309389,20,Sunday,January,0.7062388924862812,Moderate
abu-dhabi,2025-01-12 19:16:30.000,197.9,17.0,20.0,37.0,7.0,2025-01-05 19:01:00.000,9.716548509294466,9.014157164917814,0.7023913443766521,19,Sunday,January,1.3246554986721217,Moderate
abu-dhabi,2025-01-12 18:31:30.000,176.3,13.0,16.3,45.0,10.0,2025-01-05 18:01:00.000,9.67654935667211,9.507292874827062,0.1692564818450481,18,Sunday,January,0.2314364659798755,Moderate
abu-dhabi,2025-01-12 17:01:00.000,176.3,14.0,17.7,60.0,14.0,2025-01-05 17:01:00.000,10.05684301212798,10.170995390377067,-0.114152378249086,17,Sunday,January,-0.15712653817533417,Low
abu-dhabi,2025-01-12 16:01:00.000,212.9,17.0,25.2,71.0,16.0,2025-01-05 16:01:00.001,10.329700970573692,10.41007742477002,-0.0803764541963278,16,Sunday,January,-0.13125740237880706,Low
abu-dhabi,2025-01-12 15:01:00.000,257.9,21.0,32.3,79.0,18.0,2025-01-05 15:01:00.000,10.627545702786549,10.26655984919682,0.3609858535897299,15,Sunday,January,0.7383878374777457,Moderate
abu-dhabi,2025-01-12 14:01:00.001,260.9,21.0,44.0,79.0,18.0,2025-01-05 14:46:00.000,10.646923592829738,10.082807605590462,0.5641159872392763,14,Sunday,January,1.1749143884741475,Moderate
abu-dhabi,2025-01-12 13:46:00.000,250.4,19.0,47.8,84.0,16.0,2025-01-05 13:46:00.000,10.470970495938165,9.994128572934606,0.4768419230035565,13,Sunday,January,0.9065319173102546,Moderate
abu-dhabi,2025-01-12 12:46:00.000,108.0,12.0,9.3,35.0,11.0,2025-01-05 12:46:00.001,9.731148522437548,9.657456625378076,0.0736918970594722,12,Sunday,January,0.09156683783490949,Moderate
abu-dhabi,2025-01-12 11:01:00.000,46.0,9.0,4.3,16.0,9.0,2025-01-05 11:01:00.000,9.51206939702839,9.531009205423024,-0.0189398083946361,11,Sunday,January,-0.01788459877414879,Low
abu-dhabi,2025-01-12 10:01:30.000,57.6,10.0,5.4,19.0,9.0,2025-01-05 10:01:30.001,9.622127067599209,9.629542431220669,-0.00741536362146,10,Sunday,January,-0.00770063964557453,Low
abu-dhabi,2025-01-12 09:01:00.000,44.8,9.0,5.4,19.0,10.0,2025-01-05 09:31:30.000,9.582966955276625,9.66866543196659,-0.0856984766899646,9,Sunday,January,-0.07977174260882494,Low
abu-dhabi,2025-01-12 08:01:30.000,89.6,10.0,8.1,23.0,10.0,2025-01-05 08:01:30.000,9.612939653048514,9.690002562880183,-0.0770629098316693,8,Sunday,January,-0.07952826568578708,Low
abu-dhabi,2025-01-12 07:46:30.000,71.5,9.0,7.8,21.0,10.0,2025-01-05 07:46:30.000,9.58812108867534,9.672565193964314,-0.0844441052889735,7,Sunday,January,-0.07857242958413971,Low
abu-dhabi,2025-01-12 06:01:30.000,9.7,7.0,0.9,4.0,8.0,2025-01-05 06:46:30.000,9.220890361352351,9.343851178253782,-0.1229608169014291,6,Sunday,January,-0.09211680514702636,Low
abu-dhabi,2025-01-12 05:01:30.001,29.2,8.0,10.2,10.0,8.0,2025-01-05 05:01:30.000,9.289829586417223,9.222791879605523,0.0670377068116998,5,Sunday,January,0.05814959954583052,Moderate
abu-dhabi,2025-01-12 04:16:30.000,37.1,9.0,14.2,11.0,8.0,2025-01-05 04:01:30.000,9.159588869288331,9.010788139010392,0.148800730277939,4,Sunday,January,0.1486225790509519,Moderate
abu-dhabi,2025-01-12 03:01:30.001,44.5,9.0,16.6,13.0,8.0,2025-01-05 03:01:30.000,9.077210086142522,8.928243614408895,0.1489664717336261,3,Sunday,January,0.15016371679631832,Moderate
abu-dhabi,2025-01-12 02:31:30.000,15.6,8.0,6.4,5.0,7.0,2025-01-05 02:46:30.000,8.834081120030056,8.700927379544432,0.1331537404856249,2,Sunday,January,0.12242717096907584,Moderate
abu-dhabi,2025-01-12 02:01:00.000,11.9,6.0,9.5,6.0,7.0,2025-01-05 02:46:30.000,8.62709461752991,8.544419065871994,0.0826755516579158,2,Sunday,January,0.058055826396533464,Moderate
abu-dhabi,2025-01-12 01:46:30.000,11.2,5.0,10.0,5.0,3.0,2025-01-05 01:46:30.000,8.648041767202404,8.652063702157006,-0.0040219349546024,1,Sunday,January,-0.0023242633740663326,Low
abu-dhabi,2025-01-12 00:01:30.001,7.8,2.0,0.7,3.0,1.0,2025-01-05 00:01:30.000,8.432434303854652,8.613018490087116,-0.1805841862324637,0,Sunday,January,-0.04193284536432877,Low
abu-dhabi,2025-01-11 23:01:30.000,0.0,2.0,0.0,0.0,1.0,2025-01-04 23:01:30.000,8.342172224192254,8.547370348161284,-0.2051981239690299,23,Saturday,January,-0.04801432852694216,Low
abu-dhabi,2025-01-11 22:01:30.000,14.9,3.0,0.8,4.0,2.0,2025-01-04 22:01:30.000,8.398571811565391,8.592130426252396,-0.1935586146870047,22,Saturday,January,-0.06758228928727819,Low
abu-dhabi,2025-01-11 21:01:30.000,40.4,6.0,2.9,12.0,4.0,2025-01-04 21:01:00.000,8.926794824359746,8.963741082480754,-0.0369462581210076,21,Saturday,January,-0.024730472097114098,Low
abu-dhabi,2025-01-11 20:01:00.000,85.3,17.0,15.2,27.0,7.0,2025-01-04 20:01:00.000,9.798539534184629,9.183898830173398,0.6146407040112312,20,Saturday,January,1.1377403172018226,Moderate
abu-dhabi,2025-01-11 19:31:00.001,164.9,20.0,17.4,42.0,10.0,2025-01-04 19:01:00.000,10.239228888305886,9.464823776868776,0.77440511143711,19,Saturday,January,1.6363856944271695,Moderate
abu-dhabi,2025-01-11 18:31:00.000,210.7,16.0,17.5,45.0,13.0,2025-01-04 18:01:00.000,10.090606944002348,9.951779154922315,0.1388277890800324,18,Saturday,January,0.22320075543294737,Moderate
abu-dhabi,2025-01-11 18:01:00.000,111.1,15.0,12.1,40.0,13.0,2025-01-04 18:01:00.000,10.21076835898645,10.289873291092327,-0.0791049321058778,18,Saturday,January,-0.11531473206918438,Low
abu-dhabi,2025-01-11 17:01:00.000,186.7,17.0,23.1,61.0,15.0,2025-01-04 17:01:00.000,10.438966892968274,10.560894109394178,-0.1219272164259042,17,Saturday,January,-0.1962677267445185,Low
abu-dhabi,2025-01-11 16:01:00.000,232.8,18.0,26.4,71.0,17.0,2025-01-04 16:01:00.000,10.500539497908065,10.596717370684283,-0.0961778727762183,16,Saturday,January,-0.1633715092525996,Low
abu-dhabi,2025-01-11 15:01:00.001,296.5,24.0,37.5,91.0,20.0,2025-01-04 15:01:00.000,10.85472894973871,10.332846158980292,0.5218827907584185,15,Saturday,January,1.2121720178052187,Moderate
abu-dhabi,2025-01-11 14:46:00.000,298.1,23.0,47.9,90.0,19.0,2025-01-04 14:01:00.000,10.723565010475316,10.241120204514525,0.4824448059607924,14,Saturday,January,1.08349773418407,Moderate
abu-dhabi,2025-01-11 13:46:00.001,213.3,21.0,43.5,61.0,19.0,2025-01-04 13:31:00.001,10.481225002594352,10.011132666012404,0.4700923365819491,13,Saturday,January,0.9860961189472527,Moderate
abu-dhabi,2025-01-11 13:31:00.000,207.1,20.0,40.7,66.0,19.0,2025-01-04 13:31:00.001,10.400250309527522,9.949940216034271,0.4503100934932487,13,Saturday,January,0.9051513551158396,Moderate
abu-dhabi,2025-01-11 12:46:00.000,135.6,14.0,18.6,41.0,13.0,2025-01-04 12:46:00.000,9.802088499462782,9.678827982167608,0.1232605172951739,12,Saturday,January,0.1782909299877825,Moderate
abu-dhabi,2025-01-11 11:01:00.000,49.7,11.0,4.8,15.0,11.0,2025-01-04 11:01:00.001,9.628906269823345,9.663874954256444,-0.0349686844330996,11,Saturday,January,-0.039803446400625754,Low
abu-dhabi,2025-01-11 10:01:30.000,116.4,12.0,14.9,38.0,12.0,2025-01-04 10:01:30.000,9.86484503855533,9.8298853403196,0.0349596982357311,10,Saturday,January,0.04267764722626303,Moderate
abu-dhabi,2025-01-11 09:01:30.000,130.6,12.0,17.9,42.0,13.0,2025-01-04 09:01:30.001,9.933319838982372,9.977331095817869,-0.0440112568354962,9,Saturday,January,-0.052933502652561026,Low
abu-dhabi,2025-01-11 08:01:30.000,110.5,13.0,14.8,36.0,14.0,2025-01-04 08:16:00.000,9.944771106647345,9.97004077893126,-0.0252696722839171,8,Saturday,January,-0.03294928746782063,Low
abu-dhabi,2025-01-11 07:16:30.000,132.9,12.0,15.2,37.0,13.0,2025-01-04 07:31:30.000,9.86101960453793,9.913047350066924,-0.0520277455289956,7,Saturday,January,-0.062980930515147,Low
abu-dhabi,2025-01-11 06:16:30.000,63.7,10.0,8.4,18.0,12.0,2025-01-04 06:31:30.000,9.59614860155256,9.699139995226163,-0.1029913936736051,6,Saturday,January,-0.10618610899965855,Low
abu-dhabi,2025-01-11 05:16:30.000,43.1,9.0,5.8,12.0,10.0,2025-01-04 05:01:30.000,9.456018957578866,9.526942187435154,-0.0709232298562874,5,Saturday,January,-0.06700041378947766,Low
abu-dhabi,2025-01-11 04:01:30.000,26.8,8.0,7.2,8.0,10.0,2025-01-04 04:16:30.000,9.053517216022303,9.079659362968965,-0.0261421469466576,4,Saturday,January,-0.023033592694704733,Low
abu-dhabi,2025-01-11 03:16:30.000,29.4,9.0,11.1,11.0,9.0,2025-01-04 03:16:30.000,9.190843308559206,9.131411612653608,0.059431695905598,3,Saturday,January,0.05857640481447354,Moderate
abu-dhabi,2025-01-11 02:46:30.000,14.0,8.0,4.7,5.0,9.0,2025-01-04 02:46:30.001,8.924569219517647,8.886878179782604,0.0376910397350425,2,Saturday,January,0.03392961080149703,Moderate
abu-dhabi,2025-01-11 01:46:30.000,9.0,4.0,2.2,4.0,4.0,2025-01-04 01:46:30.001,8.433723018487528,8.586308109281877,-0.1525850907943482,1,Saturday,January,-0.07108297948423369,Low
abu-dhabi,2025-01-11 00:01:30.000,14.7,2.0,0.6,3.0,1.0,2025-01-04 00:01:30.000,8.500991881010268,8.665303874682609,-0.1643119936723405,0,Saturday,January,-0.03792411577219129,Low
abu-dhabi,2025-01-10 23:01:30.001,1.6,2.0,1.7,1.0,2.0,2025-01-03 23:01:30.000,8.400972651575527,8.624870794989704,-0.2238981434141767,23,Friday,January,-0.0519191878316002,Low
abu-dhabi,2025-01-10 22:01:30.001,9.9,3.0,2.4,4.0,2.0,2025-01-03 22:01:30.000,8.637256975035836,8.84483013533407,-0.2075731602982333,22,Friday,January,-0.07040491127206706,Low
abu-dhabi,2025-01-10 21:01:30.000,11.5,5.0,1.0,5.0,4.0,2025-01-03 21:01:30.000,8.939817076471963,9.094909390550455,-0.1550923140784945,21,Friday,January,-0.08526325410104282,Low
abu-dhabi,2025-01-10 20:01:00.000,32.5,8.0,2.2,14.0,7.0,2025-01-03 20:01:00.001,9.394147313616868,9.554560011981584,-0.1604126983647162,20,Friday,January,-0.13431299665379126,Low
abu-dhabi,2025-01-10 19:01:00.000,67.8,11.0,7.5,21.0,10.0,2025-01-03 19:01:00.000,9.900171794818784,10.062373380325702,-0.162201585506919,19,Friday,January,-0.17731576568850763,Low
abu-dhabi,2025-01-10 18:01:00.000,124.0,14.0,10.8,39.0,13.0,2025-01-03 18:01:00.000,10.285778194578317,10.495804467280433,-0.210026272702116,18,Friday,January,-0.2801469698674277,Low
abu-dhabi,2025-01-10 17:01:00.000,230.0,18.0,28.7,78.0,16.0,2025-01-03 17:01:00.000,10.593650468127285,10.661369503562955,-0.0677190354356724,17,Friday,January,-0.11433265092582248,Low
abu-dhabi,2025-01-10 16:01:00.000,306.9,20.0,37.1,91.0,19.0,2025-01-03 16:01:00.001,10.759196250722802,10.798007977736216,-0.0388117270134138,16,Friday,January,-0.07188682781757058,Low
abu-dhabi,2025-01-10 15:01:00.000,420.3,24.0,57.3,122.0,24.0,2025-01-03 15:01:00.000,10.985456388901545,10.670071583817665,0.3153848050838803,15,Friday,January,0.7093893665617674,Moderate
abu-dhabi,2025-01-10 14:01:00.001,315.5,25.0,55.0,85.0,25.0,2025-01-03 14:01:00.001,10.94964644651778,10.253934918330238,0.6957115281875428,14,Friday,January,1.696206221632703,Moderate
abu-dhabi,2025-01-10 13:46:00.000,345.6,24.0,56.7,92.0,24.0,2025-01-03 13:46:00.000,10.848200625084743,10.124102282863284,0.7240983422214597,13,Friday,January,1.7165334493637803,Moderate
abu-dhabi,2025-01-10 13:16:00.001,236.0,19.0,40.7,65.0,24.0,2025-01-03 13:46:00.000,10.36072854659453,9.889104280215005,0.4716242663795249,13,Friday,January,0.9061347526831975,Moderate
abu-dhabi,2025-01-10 12:46:00.000,124.1,14.0,18.0,36.0,18.0,2025-01-03 12:46:00.000,9.852901012251348,9.65415806567662,0.198742946574729,12,Friday,January,0.28820755089337496,Moderate
abu-dhabi,2025-01-10 11:01:30.000,72.6,11.0,7.9,24.0,12.0,2025-01-03 11:01:30.000,9.658966301852823,9.649391808710398,0.009574493142427,11,Friday,January,0.010914617900747667,Moderate
abu-dhabi,2025-01-10 10:01:30.000,156.5,14.0,20.2,53.0,12.0,2025-01-03 10:01:30.000,10.218081627993003,10.054000855132948,0.1640807728600553,10,Friday,January,0.2284792743843862,Moderate
abu-dhabi,2025-01-10 09:01:30.000,226.0,22.0,30.4,68.0,11.0,2025-01-03 09:01:30.000,10.70251869646377,10.125193816062104,0.5773248804016653,9,Friday,January,1.2544102957010232,Moderate
abu-dhabi,2025-01-10 08:46:30.001,266.0,24.0,41.4,78.0,11.0,2025-01-03 08:46:30.000,10.887330985700212,10.297878899215222,0.5894520864849913,8,Friday,January,1.3737634918893682,Moderate
abu-dhabi,2025-01-10 07:46:30.000,129.4,12.0,16.5,40.0,9.0,2025-01-03 07:01:30.000,9.858758034510794,10.005823753810455,-0.1470657192996629,7,Friday,January,-0.17637614603433932,Low
abu-dhabi,2025-01-10 06:01:30.000,49.8,9.0,9.2,15.0,10.0,2025-01-03 06:01:30.000,9.397233029042203,9.530299094812566,-0.1330660657703628,6,Friday,January,-0.12566180557597903,Low
abu-dhabi,2025-01-10 05:01:30.001,37.0,9.0,5.4,13.0,10.0,2025-01-03 05:31:30.000,9.374034523442688,9.463706830181362,-0.0896723067386737,5,Friday,January,-0.08527850398685666,Low
abu-dhabi,2025-01-10 04:01:30.000,262.0,17.0,31.4,79.0,8.0,2025-01-03 04:01:30.000,10.15159282468228,9.721875644354244,0.4297171803280371,4,Friday,January,0.7514179704426638,Moderate
abu-dhabi,2025-01-10 03:46:30.000,268.8,16.0,37.1,85.0,7.0,2025-01-03 03:46:30.000,9.984654633964071,9.653869394123252,0.3307852398408197,3,Friday,January,0.5482323844856385,Moderate
abu-dhabi,2025-01-10 02:46:30.001,33.4,4.0,7.7,11.0,6.0,2025-01-03 02:16:30.000,8.242548746825895,8.316947780651319,-0.0743990338254239,2,Friday,January,-0.035781892967276775,Low
abu-dhabi,2025-01-10 01:46:30.000,20.5,3.0,6.9,6.0,4.0,2025-01-03 01:46:30.000,8.071429216983516,8.217968664138054,-0.146539447154538,1,Friday,January,-0.053494769745477455,Low
abu-dhabi,2025-01-10 01:16:30.001,5.1,2.0,0.2,1.0,4.0,2025-01-03 01:46:30.000,8.231558914250819,8.439730596550358,-0.2081716822995396,1,Friday,January,-0.049331357184464485,Low
abu-dhabi,2025-01-10 00:01:30.000,6.6,2.0,2.4,3.0,2.0,2025-01-03 00:01:30.001,8.538111275332636,8.755070314015182,-0.2169590386825461,0,Friday,January,-0.0495619180431336,Low
abu-dhabi,2025-01-09 23:01:30.001,0.0,2.0,0.0,0.0,2.0,2025-01-02 23:46:30.000,8.59515522345874,8.798876377042626,-0.2037211535838867,23,Thursday,January,-0.04630617475554511,Low
abu-dhabi,2025-01-09 22:01:30.000,10.3,2.0,0.6,3.0,2.0,2025-01-02 22:01:30.000,8.598422785812435,8.84547021773379,-0.2470474319213558,22,Thursday,January,-0.05585851873110469,Low
abu-dhabi,2025-01-09 21:01:00.000,29.1,6.0,5.3,10.0,3.0,2025-01-02 21:01:00.000,8.991414349529464,9.026905411388672,-0.0354910618592079,21,Thursday,January,-0.023590185279507486,Low
abu-dhabi,2025-01-09 20:01:00.000,34.8,12.0,4.5,7.0,6.0,2025-01-02 20:01:00.000,9.46944418417216,9.147728268538051,0.3217159156341065,20,Thursday,January,0.42202729183453125,Moderate
abu-dhabi,2025-01-09 19:16:00.001,250.3,17.0,20.1,50.0,9.0,2025-01-02 19:01:00.000,10.137194931831662,9.544239330535296,0.5929556012963655,19,Thursday,January,1.0561601478064417,Moderate
abu-dhabi,2025-01-09 18:46:00.000,249.4,14.0,18.1,44.0,12.0,2025-01-02 18:01:30.000,10.043065166413726,9.81956268192268,0.2235024844910462,18,Thursday,January,0.3186531706381429,Moderate
abu-dhabi,2025-01-09 17:01:00.000,126.5,17.0,16.1,47.0,15.0,2025-01-02 17:01:00.001,10.648278270446552,10.722672623473953,-0.0743943530273991,17,Thursday,January,-0.11794671402138497,Low
abu-dhabi,2025-01-09 16:01:00.000,235.0,30.0,43.7,74.0,20.0,2025-01-02 16:01:00.000,11.576410387961456,10.731934959331394,0.8444754286300622,16,Thursday,January,2.36064260125559,High
abu-dhabi,2025-01-09 15:01:00.000,625.0,47.0,115.2,161.0,29.0,2025-01-02 15:01:00.000,12.87001855749286,10.912998447090024,1.9570201104028333,15,Thursday,January,8.428475971556654,Severe
abu-dhabi,2025-01-09 14:31:00.001,753.4,47.0,139.0,187.0,30.0,2025-01-02 14:46:00.000,12.811236391931482,10.967916611048633,1.843319780882851,14,Thursday,January,7.899041611441529,Severe
abu-dhabi,2025-01-09 13:46:00.000,750.7,39.0,126.3,182.0,25.0,2025-01-02 13:46:00.001,12.170699658676952,10.742680199540406,1.4280194591365465,13,Thursday,January,5.184251776266035,Severe
abu-dhabi,2025-01-09 12:46:00.000,282.5,26.0,53.0,83.0,15.0,2025-01-02 12:46:00.001,10.904114839613406,10.168186212610795,0.7359286270026111,12,Thursday,January,1.881765725173023,Moderate
abu-dhabi,2025-01-09 11:31:00.000,311.7,25.0,38.0,88.0,12.0,2025-01-02 11:31:00.000,11.008154614228602,10.22994842423808,0.7782061899905202,11,Thursday,January,1.9017842459173546,Moderate
abu-dhabi,2025-01-09 10:46:30.000,294.1,19.0,35.9,84.0,13.0,2025-01-02 10:01:00.001,10.524532906640554,10.198709100376684,0.3258238062638696,10,Thursday,January,0.607003519571401,Moderate
abu-dhabi,2025-01-09 09:46:30.001,135.5,16.0,16.9,43.0,14.0,2025-01-02 09:01:00.000,10.316342049008387,10.176398739817166,0.1399433091912207,9,Thursday,January,0.2200280280192481,Moderate
abu-dhabi,2025-01-09 08:16:30.000,148.0,15.0,18.6,44.0,14.0,2025-01-02 08:46:30.000,10.177235781720832,10.25278217002166,-0.0755463883008289,8,Thursday,January,-0.11052569007325747,Low
abu-dhabi,2025-01-09 07:31:30.000,108.3,14.0,15.4,34.0,12.0,2025-01-02 07:16:30.000,10.105422095427288,10.254661960272951,-0.1492398648456632,7,Thursday,January,-0.20374714602329727,Low
abu-dhabi,2025-01-09 06:01:00.001,81.8,12.0,14.0,27.0,11.0,2025-01-02 06:16:30.001,9.636187962940504,9.830402795640984,-0.1942148327004815,6,Thursday,January,-0.23707858577668728,Low
abu-dhabi,2025-01-09 05:01:30.000,69.2,13.0,9.7,25.0,10.0,2025-01-02 05:16:30.000,9.76123754408569,9.848321361134468,-0.0870838170487768,5,Thursday,January,-0.11495254674586619,Low
abu-dhabi,2025-01-09 04:01:30.000,428.1,24.0,61.5,117.0,9.0,2025-01-02 04:01:30.000,10.836538508201588,10.236072666788544,0.6004658414130439,4,Thursday,January,1.4078817787871767,Moderate
abu-dhabi,2025-01-09 03:46:30.000,394.6,22.0,62.3,115.0,7.0,2025-01-02 03:46:30.000,10.50140974397079,10.085236082408152,0.4161736615626381,3,Thursday,January,0.9078439492704283,Moderate
abu-dhabi,2025-01-09 02:46:30.001,44.3,6.0,9.3,17.0,4.0,2025-01-02 02:01:30.000,8.374029102359806,8.398079523968438,-0.0240504216086314,2,Thursday,January,-0.017182801048733095,Low
abu-dhabi,2025-01-09 01:46:30.000,12.2,3.0,4.0,4.0,3.0,2025-01-02 01:46:30.000,8.021563178938255,8.177042144767906,-0.1554789658296513,1,Thursday,January,-0.057042251859665966,Low
abu-dhabi,2025-01-09 00:01:30.000,21.6,3.0,6.2,4.0,1.0,2025-01-02 00:01:30.000,8.56555765415203,8.720409739508717,-0.154852085356687,0,Thursday,January,-0.053272296824005985,Low
abu-dhabi,2025-01-08 23:01:30.000,0.0,2.0,0.0,0.0,2.0,2025-01-01 23:31:30.000,8.55896253438827,8.792834709162875,-0.2338721747746053,23,Wednesday,January,-0.05319608124349041,Low
abu-dhabi,2025-01-08 22:01:30.000,8.4,2.0,0.9,1.0,2.0,2025-01-01 22:01:30.000,8.629246653212356,8.887920550868817,-0.2586738976564611,22,Wednesday,January,-0.058207968033912066,Low
abu-dhabi,2025-01-08 21:01:30.001,5.9,3.0,0.2,2.0,3.0,2025-01-01 21:01:30.001,8.805398772521603,9.04369043170622,-0.2382916591846164,21,Wednesday,January,-0.07904682086945157,Low
abu-dhabi,2025-01-08 20:01:00.000,12.5,6.0,0.6,5.0,6.0,2025-01-01 20:01:30.000,9.186058823332049,9.371440130084409,-0.1853813067523599,20,Wednesday,January,-0.11868910488404746,Low
abu-dhabi,2025-01-08 19:01:00.000,28.8,9.0,5.3,12.0,9.0,2025-01-01 19:01:00.000,9.66722418413175,9.825094615550666,-0.1578704314189156,19,Wednesday,January,-0.14461274301841495,Low
abu-dhabi,2025-01-08 18:01:00.000,72.8,12.0,8.4,22.0,12.0,2025-01-01 18:01:00.000,10.18793626532802,10.399692313283332,-0.211756047955312,18,Wednesday,January,-0.24434113038306715,Low
abu-dhabi,2025-01-08 17:01:00.000,139.9,16.0,16.9,49.0,15.0,2025-01-01 17:01:00.000,10.642311848756169,10.742932567399473,-0.1006207186433041,17,Wednesday,January,-0.14985959263845403,Low
abu-dhabi,2025-01-08 16:01:00.000,256.0,21.0,33.2,71.0,17.0,2025-01-01 16:01:00.000,10.988148385960631,10.97392587415822,0.0142225118024121,16,Wednesday,January,0.027216581492858768,Moderate
abu-dhabi,2025-01-08 15:01:00.000,593.8,33.0,83.4,159.0,17.0,2025-01-01 15:01:00.000,11.952741323328592,11.267665463863173,0.6850758594654192,15,Wednesday,January,2.006405269562178,High
abu-dhabi,2025-01-08 14:01:00.001,747.5,33.0,92.1,176.0,16.0,2025-01-01 14:46:00.000,11.89789435088265,11.09108720161873,0.8068071492639195,14,Wednesday,January,2.400543377012085,High
abu-dhabi,2025-01-08 13:46:00.001,698.7,31.0,93.1,171.0,14.0,2025-01-01 13:46:00.000,11.662374978589776,10.92847020362066,0.7339047749691172,13,Wednesday,January,2.081814526657632,High
abu-dhabi,2025-01-08 13:31:00.000,631.2,28.0,87.0,153.0,14.0,2025-01-01 13:46:00.000,11.40614468448719,10.77694450009592,0.6292001843912711,13,Wednesday,January,1.6347495491694084,Moderate
abu-dhabi,2025-01-08 12:01:00.001,166.5,22.0,25.4,51.0,10.0,2025-01-01 12:46:00.000,10.700548240905649,10.25077371873974,0.4497745221659084,12,Wednesday,January,0.9652968409165614,Moderate
abu-dhabi,2025-01-08 11:31:00.000,350.2,26.0,51.7,102.0,8.0,2025-01-01 11:31:00.000,11.151763459950455,10.359868447571383,0.7918950123790705,11,Wednesday,January,1.9874065415070525,Moderate
abu-dhabi,2025-01-08 10:46:30.000,258.1,18.0,34.5,79.0,7.0,2025-01-01 10:01:00.001,10.452385237628617,10.236324539016277,0.2160606986123383,10,Wednesday,January,0.3799305659173511,Moderate
abu-dhabi,2025-01-08 09:01:30.000,168.1,16.0,19.9,47.0,7.0,2025-01-01 09:01:00.000,10.380602254042444,10.330815917883216,0.0497863361592276,9,Wednesday,January,0.07710730545190687,Moderate
abu-dhabi,2025-01-08 08:01:30.000,167.2,16.0,22.6,45.0,7.0,2025-01-01 08:01:30.000,10.309028269753153,10.279356615691102,0.0296716540620494,8,Wednesday,January,0.0461844532437112,Moderate
abu-dhabi,2025-01-08 07:46:30.000,167.9,16.0,21.5,44.0,7.0,2025-01-01 07:46:30.000,10.251282509952516,10.210177929677409,0.0411045802751104,7,Wednesday,January,0.06441349885686952,Moderate
abu-dhabi,2025-01-08 06:01:30.000,147.7,16.0,31.6,33.0,6.0,2025-01-01 06:01:30.000,10.03680430321066,9.796458520283675,0.2403457829269832,6,Wednesday,January,0.3925431337119984,Moderate
abu-dhabi,2025-01-08 05:01:30.000,280.9,21.0,45.9,53.0,7.0,2025-01-01 05:01:30.000,10.323627744383083,9.804974067484196,0.5186536768988859,5,Wednesday,January,1.110836922149177,Moderate
abu-dhabi,2025-01-08 04:01:30.000,592.7,31.0,85.9,144.0,8.0,2025-01-01 04:31:30.000,11.35791251498797,10.319138293275865,1.0387742217121063,4,Wednesday,January,3.120609488687505,High
abu-dhabi,2025-01-08 03:46:30.000,562.2,27.0,104.2,137.0,6.0,2025-01-01 03:46:30.001,10.917308679454798,10.146690671225098,0.7706180082297003,3,Wednesday,January,2.0505884032916653,High
abu-dhabi,2025-01-08 02:46:30.000,101.0,10.0,30.5,29.0,3.0,2025-01-01 02:16:30.000,8.598066381767417,8.38619345145373,0.211872930313687,2,Wednesday,January,0.2526449354408338,Moderate
abu-dhabi,2025-01-08 01:46:30.000,19.5,5.0,7.5,8.0,2.0,2025-01-01 01:01:30.000,8.249622152969495,8.244286049395459,0.0053361035740362,1,Wednesday,January,0.003236243588629201,Moderate
abu-dhabi,2025-01-08 00:01:30.000,2.2,2.0,0.6,1.0,3.0,2025-01-01 00:01:30.001,8.48315441502265,8.704785551698995,-0.2216311366763452,0,Wednesday,January,-0.05092167644108991,Low
